[2024-11-22T11:45:53.016+0000] {logging_mixin.py:190} INFO - HUG HUUUGE
[2024-11-22T11:45:53.017+0000] {logging_mixin.py:190} INFO - IBS IBSM
[2024-11-22T11:45:53.017+0000] {logging_mixin.py:190} INFO - ICE MEDINICE
[2024-11-22T11:45:53.018+0000] {logging_mixin.py:190} INFO - IDG INDYGO
[2024-11-22T11:45:53.018+0000] {logging_mixin.py:190} INFO - IDM IDMSA
[2024-11-22T11:45:53.019+0000] {logging_mixin.py:190} INFO - IFC IFCAPITAL
[2024-11-22T11:45:53.019+0000] {logging_mixin.py:190} INFO - IFI IFIRMA
[2024-11-22T11:45:53.019+0000] {logging_mixin.py:190} INFO - IFR IFSA
[2024-11-22T11:45:53.020+0000] {logging_mixin.py:190} INFO - IIA IIAAV
[2024-11-22T11:45:53.020+0000] {logging_mixin.py:190} INFO - IMC IMCOMPANY
[2024-11-22T11:45:53.020+0000] {logging_mixin.py:190} INFO - IMP IMPERIO
[2024-11-22T11:45:53.021+0000] {logging_mixin.py:190} INFO - ING INGBSK
[2024-11-22T11:45:53.021+0000] {logging_mixin.py:190} INFO - INK INSTALKRK
[2024-11-22T11:45:53.021+0000] {logging_mixin.py:190} INFO - INL INTROL
[2024-11-22T11:45:53.022+0000] {logging_mixin.py:190} INFO - INP INPRO
[2024-11-22T11:45:53.022+0000] {logging_mixin.py:190} INFO - IPE IPOPEMA
[2024-11-22T11:45:53.022+0000] {logging_mixin.py:190} INFO - IPO INTERSPPL
[2024-11-22T11:45:53.023+0000] {logging_mixin.py:190} INFO - IRL INTERAOLT
[2024-11-22T11:45:53.023+0000] {logging_mixin.py:190} INFO - ITB INTERBUD
[2024-11-22T11:45:53.023+0000] {logging_mixin.py:190} INFO - IZB IZOBLOK
[2024-11-22T11:45:53.024+0000] {logging_mixin.py:190} INFO - IZO IZOLACJA
[2024-11-22T11:45:53.024+0000] {logging_mixin.py:190} INFO - IZS IZOSTAL
[2024-11-22T11:45:53.024+0000] {logging_mixin.py:190} INFO - JWW JWWINVEST
[2024-11-22T11:45:53.025+0000] {logging_mixin.py:190} INFO - KCH KRAKCHEM
[2024-11-22T11:45:53.025+0000] {logging_mixin.py:190} INFO - KDM KDMSHIPNG
[2024-11-22T11:45:53.025+0000] {logging_mixin.py:190} INFO - KER KERNEL
[2024-11-22T11:45:53.026+0000] {logging_mixin.py:190} INFO - KGH KGHM
[2024-11-22T11:45:53.026+0000] {logging_mixin.py:190} INFO - KGN KOGENERA
[2024-11-22T11:45:53.026+0000] {logging_mixin.py:190} INFO - KMP KOMPAP
[2024-11-22T11:45:53.027+0000] {logging_mixin.py:190} INFO - KOM KOMPUTRON
[2024-11-22T11:45:53.027+0000] {logging_mixin.py:190} INFO - KPD KPPD
[2024-11-22T11:45:53.027+0000] {logging_mixin.py:190} INFO - KPL KINOPOL
[2024-11-22T11:45:53.028+0000] {logging_mixin.py:190} INFO - KRI KREDYTIN
[2024-11-22T11:45:53.028+0000] {logging_mixin.py:190} INFO - KRK KRKA
[2024-11-22T11:45:53.028+0000] {logging_mixin.py:190} INFO - KRU KRUK
[2024-11-22T11:45:53.029+0000] {logging_mixin.py:190} INFO - KSG KSGAGRO
[2024-11-22T11:45:53.029+0000] {logging_mixin.py:190} INFO - KTY KETY
[2024-11-22T11:45:53.029+0000] {logging_mixin.py:190} INFO - KVT KRVITAMIN
[2024-11-22T11:45:53.030+0000] {logging_mixin.py:190} INFO - LAB LABOPRINT
[2024-11-22T11:45:53.030+0000] {logging_mixin.py:190} INFO - LBT LIBET
[2024-11-22T11:45:53.030+0000] {logging_mixin.py:190} INFO - LBW LUBAWA
[2024-11-22T11:45:53.031+0000] {logging_mixin.py:190} INFO - LEN LENA
[2024-11-22T11:45:53.031+0000] {logging_mixin.py:190} INFO - LES LESS
[2024-11-22T11:45:53.031+0000] {logging_mixin.py:190} INFO - LKD LOKUM
[2024-11-22T11:45:53.032+0000] {logging_mixin.py:190} INFO - LRK LARK
[2024-11-22T11:45:53.032+0000] {logging_mixin.py:190} INFO - LRQ LARQ
[2024-11-22T11:45:53.033+0000] {logging_mixin.py:190} INFO - LSI LSISOFT
[2024-11-22T11:45:53.033+0000] {logging_mixin.py:190} INFO - LTX LENTEX
[2024-11-22T11:45:53.033+0000] {logging_mixin.py:190} INFO - LWB BOGDANKA
[2024-11-22T11:45:53.034+0000] {logging_mixin.py:190} INFO - MAB MABION
[2024-11-22T11:45:53.034+0000] {logging_mixin.py:190} INFO - MAK MAKARONPL
[2024-11-22T11:45:53.034+0000] {logging_mixin.py:190} INFO - MAN MANYDEV
[2024-11-22T11:45:53.035+0000] {logging_mixin.py:190} INFO - MBK MBANK
[2024-11-22T11:45:53.035+0000] {logging_mixin.py:190} INFO - MBR MOBRUK
[2024-11-22T11:45:53.035+0000] {logging_mixin.py:190} INFO - MBW MBWS
[2024-11-22T11:45:53.035+0000] {logging_mixin.py:190} INFO - MCR MERCOR
[2024-11-22T11:45:53.036+0000] {logging_mixin.py:190} INFO - MDG MEDICALG
[2024-11-22T11:45:53.036+0000] {logging_mixin.py:190} INFO - MDI MDIENERGIA
[2024-11-22T11:45:53.036+0000] {logging_mixin.py:190} INFO - MEG MEGARON
[2024-11-22T11:45:53.037+0000] {logging_mixin.py:190} INFO - MEX MEXPOLSKA
[2024-11-22T11:45:53.037+0000] {logging_mixin.py:190} INFO - MGT MANGATA
[2024-11-22T11:45:53.037+0000] {logging_mixin.py:190} INFO - MIL MILLENNIUM
[2024-11-22T11:45:53.038+0000] {logging_mixin.py:190} INFO - MIR MIRACULUM
[2024-11-22T11:45:53.038+0000] {logging_mixin.py:190} INFO - MLG MLPGROUP
[2024-11-22T11:45:53.038+0000] {logging_mixin.py:190} INFO - MLK MILKILAND
[2024-11-22T11:45:53.039+0000] {logging_mixin.py:190} INFO - MLS MLSYSTEM
[2024-11-22T11:45:53.039+0000] {logging_mixin.py:190} INFO - MNC MENNICA
[2024-11-22T11:45:53.039+0000] {logging_mixin.py:190} INFO - MOC MOLECURE
[2024-11-22T11:45:53.040+0000] {logging_mixin.py:190} INFO - MON MONNARI
[2024-11-22T11:45:53.040+0000] {logging_mixin.py:190} INFO - MOV MOVIEGAMES
[2024-11-22T11:45:53.040+0000] {logging_mixin.py:190} INFO - MRB MIRBUD
[2024-11-22T11:45:53.041+0000] {logging_mixin.py:190} INFO - MRC MERCATOR
[2024-11-22T11:45:53.041+0000] {logging_mixin.py:190} INFO - MSP MOSTALPLC
[2024-11-22T11:45:53.041+0000] {logging_mixin.py:190} INFO - MSW MOSTALWAR
[2024-11-22T11:45:53.041+0000] {logging_mixin.py:190} INFO - MSZ MOSTALZAB
[2024-11-22T11:45:53.042+0000] {logging_mixin.py:190} INFO - MUR MURAPOL
[2024-11-22T11:45:53.042+0000] {logging_mixin.py:190} INFO - MVP MARVIPOL
[2024-11-22T11:45:53.043+0000] {logging_mixin.py:190} INFO - MWT MWTRADE
